english,ekegusii,source,ref
"And said , My God forbid it me, that I should do this thing : shall I drink the blood of these men that have put their lives in jeopardy ? for with the jeopardy of their lives they brought it. Therefore he would not drink it. These things did these three mightiest .","akabora, “Omonene ontange tiyanywa. Aya nigo anga buna nkonywa amanyinga ’abaanto bataegerete obogima bwabo ase okorenta amaache aya.” Ase ayio akaanga tayanywa. Ayio naro abanto abwo chituoni batato bakorete.",bible_ebible,1CH_11_19
"And moreover in time past , even when Saul was king , thou wast he that leddest out and broughtest in Israel : and the LORD thy God said unto thee, Thou shalt feed my people Israel , and thou shalt be ruler over my people Israel .","Ase engaki yaetire, nonya nekero Saulo arenge omorwoti, naye kwarenge gotang’ana Abaisraeli kobaare korwana esegi naende kobakoirana. Na Omonene, Nyasae oo, akagoteebia ng’a naye orabe omorisia bw’Abaisraeli, abanto baye, na koba omogambi igoro yabo.”",bible_ebible,1CH_11_2
"And Abishai the brother of Joab , he was chief of the three : for lifting up his spear against three hundred , he slew them , and had a name among the three .","Abisai, momura omwabo Yoabu, nigo amanyekanete ase baria batato; akarwania abanto amagana atato akabaaka ne ritimo riaye, akabaita, na igo akaba nerieta rinene ase egati ya baria batato.",bible_ebible,1CH_11_20
"Of the three , he was more honourable than the two ; for he was their captain : howbeit he attained not to the first three .","Ase baria batato ere nigo abwate ogosikwa okuya goetania abande, akaba omoraai obo, korende tareng’anetie na baria batato b’eritang’ani.",bible_ebible,1CH_11_21
"Benaiah the son of Jehoiada , the son of a valiant man of Kabzeel , who had done many acts ; he slew two lionlike men of Moab : also he went down and slew a lion in a pit in a snowy day .","Benaya, mosinto o Yehoyada, nigo arenge omonto etuoni korwa ase Kabuseli. Ere agakora emeremo emenene, agaita abanto babere chituoni b’Abamoabu. Engaki ende, ekero ki’obokendu na amagena ’embura yatwete, agasoa engoro agaita endo aroro.",bible_ebible,1CH_11_22
"And he slew an Egyptian , a man of great stature , five cubits high; and in the Egyptian’s hand was a spear like a weaver’s beam ; and he went down to him with a staff , and plucked the spear out of the Egyptian’s hand , and slew him with his own spear .","Naende agaita Omomisiri, omonto orenge nobotambe bw’ekerengo gie chimita ibere. Omomisiri oria nigo abwate ritimo koboko kwaye, riachomeire orotanga oronene buna omwaro, korende Benaya akamochiera nenyimbo, akamoura ritimo riarenge koboko kwaye, akamoitera ne ritimo riria riaye omonyene.",bible_ebible,1CH_11_23
"These things did Benaiah the son of Jehoiada , and had the name among the three mighties .","Amang’ana aya naro Benaya, mosinto o Yehoyada, akorete. Nigo anyorete erieta rinene ase egati ya baria batato.",bible_ebible,1CH_11_24
"Behold , he was honourable among the thirty , but attained not to the first three : and David set him over his guard .","Nonya osikire kobua baria Emerongo etato, tareng’anirie na baria batato. Daudi akamobeka akaba omoteneneri bw’abarendi b’obogima bwaye.",bible_ebible,1CH_11_25
"Also the valiant men of the armies were , Asahel the brother of Joab , Elhanan the son of Dodo of Beth-lehem ,","Abanto chituoni b’abasikari nabwo aba: Asaeli momura omwabo Yoabu, na Elihanani, mosinto o Dodo korwa Bethlehemu.",bible_ebible,1CH_11_26
"Shammoth the Harorite , Helez the Pelonite ,",Samoti korwa Harodi na Helesi korwa Peleti;,bible_ebible,1CH_11_27
"Ira the son of Ikkesh the Tekoite , Abi-ezer the Antothite ,","Ira, mosinto o Ikesi korwa Tekoa, na Abieseri korwa Anatoti;",bible_ebible,1CH_11_28
"Sibbecai the Hushathite , Ilai the Ahohite ,","Sibekai korwa Husa, na Ilai korwa Ahohi;",bible_ebible,1CH_11_29
"Therefore came all the elders of Israel to the king to Hebron ; and David made a covenant with them in Hebron before the LORD ; and they anointed David king over Israel , according to the word of the LORD by Samuel .","Nabo abagaaka bonsi b’Abaisraeli bagacha ase omorwoti agwo Heburoni; na aroro Daudi agakora okobwatana kw’ogotianania nabarabwo ase obosio bw’Omonene, na barabwo bagaaka Daudi amaguta akaba omorwoti igoro ase Abaisraeli, koreng’ana ne ring’ana riri’Omonene akwanete goetera ase Samweli.",bible_ebible,1CH_11_3
"Maharai the Netophathite , Heled the son of Baanah the Netophathite ,","Maharai korwa Netofa, na Heledi, mosinto o Baana korwa Netofa;",bible_ebible,1CH_11_30
"Ithai the son of Ribai of Gibeah , that pertained to the children of Benjamin , Benaiah the Pirathonite ,","Itai, mosinto o Ribai korwa Gibea o Benjamini, na Benaya korwa Piratoni;",bible_ebible,1CH_11_31
"Hurai of the brooks of Gaash , Abiel the Arbathite ,","Hurai korwa ase amakura ang’e na Gaasi, na Abieli korwa Ariba;",bible_ebible,1CH_11_32
"Azmaveth the Baharumite , Eliahba the Shaalbonite ,",Asimaweti korwa Gahurimu na Eliaba korwa Saalaboni;,bible_ebible,1CH_11_33
"The sons of Hashem the Gizonite , Jonathan the son of Shage the Hararite ,","basinto ba Hasemu korwa Gisoni na Yonathani, mosinto o Sagee, korwa Harari;",bible_ebible,1CH_11_34
"Ahiam the son of Sacar the Hararite , Eliphal the son of Ur ,","Ahiamu, mosinto o Sakari korwa Harari, na Elifali, mosinto o Uri;",bible_ebible,1CH_11_35
"Hepher the Mecherathite , Ahijah the Pelonite ,",Heferi korwa Mekera na Ahiya korwa Peloni,bible_ebible,1CH_11_36
"Hezro the Carmelite , Naarai the son of Ezbai ,","Hesero korwa Karimeli, na Naara, mosinto bw’Esibai;",bible_ebible,1CH_11_37
"Joel the brother of Nathan , Mibhar the son of Haggeri ,","Yoel, momura omwabo Nathani, na Mibihari, mosinto o Hagiri.",bible_ebible,1CH_11_38
"Zelek the Ammonite , Naharai the Berothite , the armourbearer of Joab the son of Zeruiah ,","Seleki korwa Amoni na Naharai korwa Beroti, omobogoria ebirwanero bia Yoabu, omomura bw’omokuungu Seruya;",bible_ebible,1CH_11_39
"Ira the Ithrite , Gareb the Ithrite ,",Ira na Garebu korwa Itiri;,bible_ebible,1CH_11_40
"Uriah the Hittite , Zabad the son of Ahlai ,","Uria Omohiti na Sabadi, mosinto bw’Alai,",bible_ebible,1CH_11_41
"Adina the son of Shiza the Reubenite , a captain of the Reubenites , and thirty with him,","Adina, mosinto o Sisa bw’egesaku kia Rubeni, omoraai bw’abaanto b’egesaku ekio, na amo nere abanto emerongo etato;",bible_ebible,1CH_11_42
"Hanan the son of Maachah , and Joshaphat the Mithnite ,","Hanani, mosinto o Maaka na Yosafati korwa Mitani;",bible_ebible,1CH_11_43
"Uzzia the Ashterathite , Shama and Jehiel the sons of Hothan the Aroerite ,","Usia korwa Asitera; Sama na Yeieli, basinto ba Hotamu korwa Aroeri;",bible_ebible,1CH_11_44
"Jediael the son of Shimri , and Joha his brother , the Tizite ,","Yediaeli, mosinto o Simuri, na Yoha, momura omwabo, omonto o Tisi;",bible_ebible,1CH_11_45
"Eliel the Mahavite , and Jeribai , and Joshaviah , the sons of Elnaam , and Ithmah the Moabite ,","Elieli korwa Mahawa Yeribai na Yosawia, basinto b’Elinamu, na Itima korwa Moabu;",bible_ebible,1CH_11_46
"Eliel , and Obed , and Jasiel the Mesobaite .","Elieli, na Obedi, na Yaasieli korwa Soba.",bible_ebible,1CH_11_47
"And the inhabitants of Jebus said to David , Thou shalt not come hither. Nevertheless David took the castle of Zion , which is the city of David .","Abanto ba Yebusi bakamoteebia, “Aye tokonyara gocha aiga nonya ng’ake.” Korende nonya naboigo, Daudi akabua eburi + 11:5 eburi: engencho yaye ’egekengero ya Sayoni, oyio noro Omochie o Daudi.",bible_ebible,1CH_11_5
"And David said , Whosoever smiteth the Jebusites first shall be chief and captain . So Joab the son of Zeruiah went first up , and was chief .","Daudi konya oteebire, ng’a “Monto onde bwensi orabe oyo bw’eritang’ani goita abanto ba Yebusi, ere oyio nabe omochiki omonene bw’abarwani.” Yoabu, omomura bw’omokuungu Seruya, akaba oyo bw’eritang’ani kogenda aroro; ase ayio ere akaba omochiki.",bible_ebible,1CH_11_6
And David dwelt in the castle ; therefore they called it the city of David .,"Daudi akaba okomenya ase eburi eria enkong’u, ase ayio ekarokwa Omochie o Daudi.",bible_ebible,1CH_11_7
"And he built the city round about , even from Millo round about : and Joab repaired the rest of the city .","Erio akaagacha omochie goetanana onsi korwa Milo, okaba egesingo + 11:8 egesingo: engencho yaye egetangero gtanaine omochie bwonsi kegima; na Yoabu akaroisia omochie ase konya otagokire.",bible_ebible,1CH_11_8
So David waxed greater and greater : for the LORD of hosts was with him.,"Daudi akamenta koba omonene, na koba nokobua, ekiagera Omonene bw’Emeganda nigo arenge amo nere. Abarwani chituoni ba Daudi (2 Sam 23:8-9)",bible_ebible,1CH_11_9
"Now these are they that came to David to Ziklag , while he yet kept himself close because of Saul the son of Kish : and they were among the mighty men , helpers of the war .","Daudi nigo amenyete Sikilagi, ekero arenge kwebisa korwa ase Saulo, mosinto o Kisi. Abanto chituoni abarenge komokonya ase esegi bagacha asare.",bible_ebible,1CH_12_1
"Mishmannah the fourth , Jeremiah the fifth ,","na Misimana oyo o kane, na Yeremia oyo o gatano,",bible_ebible,1CH_12_10
"Attai the sixth , Eliel the seventh ,","na Atai oyo o gatano na rimo, na Elieli oyo o gatano na kabere,",bible_ebible,1CH_12_11
"Johanan the eighth , Elzabad the ninth ,","na Yohanani oyo o gatano na gatato, na Elisabadi oyo o kianda,",bible_ebible,1CH_12_12
"Jeremiah the tenth , Machbanai the eleventh .","na Yeremia oyo o ikomi, na Makibani oyo o ikomi na rimo.",bible_ebible,1CH_12_13
"These were of the sons of Gad , captains of the host : one of the least was over an hundred , and the greatest over a thousand .","Abagadi aba nigo barenge abatang’ani b’abasikari, na oyo otarenge ne chinguru nigo are konyara kobua abanto rigana erimo (100), na oyorenge ne chinguru nigo are konyara kobua abanto elifu eyemo (1,000).",bible_ebible,1CH_12_14
"These are they that went over Jordan in the first month , when it had overflown all his banks ; and they put to flight all them of the valleys , both toward the east , and toward the west .","Aba nabwo abanto bambogete Yorodani ase omotienyi bw’eritang’ani, ekero orooche orwo rwaichorete goetania chingegu chinsemo chionsi, bagaseria abanto bonsi bamenyete ase ense y’amaranya, ensemo ya moocha na eya bosongo. Abatunyani ba Daudi korwa ase egesaku kia Benjamini na ekia Yuda",bible_ebible,1CH_12_15
And there came of the children of Benjamin and Judah to the hold unto David .,"Abanto bande b’egesaku kia Benjamini, na ekia Yuda, bagacha ase eburi agwo ase Daudi arenge.",bible_ebible,1CH_12_16
"And David went out to meet them, and answered and said unto them, If ye be come peaceably unto me to help me, mine heart shall be knit unto you: but if ye be come to betray me to mine enemies , seeing there is no wrong in mine hands , the God of our fathers look thereon , and rebuke it .","Daudi agasoka kobarotota akabateebia, “Onye igo mwachire buna abasani baane monkonye, rirorio enkoro yane nebwatane nainwe, korende onye nigo mwachire monsigane na kondua ase ababisa baane, nonya amaboko aane takorete okomocha konde gwonsi, rirorio Nyasae bwe chisokoro chiaito arore amang’ana ayio abae egesusuro.”",bible_ebible,1CH_12_17
"Then the spirit came upon Amasai , who was chief of the captains , and he said , Thine are we , David , and on thy side, thou son of Jesse : peace , peace be unto thee, and peace be to thine helpers ; for thy God helpeth thee. Then David received them, and made them captains of the band .","Erio omoika ogaacha igoro ase Amasai, omonene bw’abaanto baria Emerongo etato, nere agateeba, “Aye Daudi, intwe nigo tore abanto bao; na nigo tokobwatana amo naye, aye omwana o Yese. Omorembe obe asore, na omorembe obe ase abakogokonya, ekiagera Nyasae oo, nere okogokonya.” Erio Daudi akabanchera, akababeeka bakaba abatang’ani b’emeganda yaye y’esegi. Abatunyani ba Daudi korwa ase egesaku kia Manase",bible_ebible,1CH_12_18
"And there fell some of Manasseh to David , when he came with the Philistines against Saul to battle : but they helped them not: for the lords of the Philistines upon advisement sent him away, saying , He will fall to his master Saul to the jeopardy of our heads .","Abanto bande b’egesaku kia Manase bagatama, bakagenda ase Daudi ekero arenge kogenda amo n’Abafilisti korwania Saulo. Korende Abafirisiti tibaete Daudi ribaga abakoonye, ekiagera ekero abagaambi babo bagambete amo, bagateeba, Aise kogenda amo naintwe, ande nigo arabwatane amo na Saulo, omonene oye, igo batobutore emetwe.",bible_ebible,1CH_12_19
"They were armed with bows , and could use both the right hand and the left in hurling stones and shooting arrows out of a bow , even of Saul’s brethren of Benjamin .","Abanto abwo nigo babwate amata, na nigo bamanyete koruta emegwe na amagena e chinduruche nokoboko gw’okorio amo nogw’okobee. Aba nigo barenge Ababenjamini, abanto bamwabo Saulo. Abanto aba nabwo aba:",bible_ebible,1CH_12_2
"As he went to Ziklag , there fell to him of Manasseh , Adnah , and Jozabad , and Jediael , and Michael , and Jozabad , and Elihu , and Zilthai , captains of the thousands that were of Manasseh .","Ekero Daudi agendete Sikilagi, abanto aba b’egesaku kia Manase bagacha asare: Adina na Yosabadi, Yediaeli na Mikaeli, Yosabadi na Elihu, na Siletai. Aba nabwo barenge abateneneri b’abaanto chilifu ba Manase.",bible_ebible,1CH_12_20
"And they helped David against the band of the rovers: for they were all mighty men of valour , and were captains in the host .","Barabwo bakaba bagokonya Daudi korwania ebiombe bi’abasakori. Abwo bonsi nigo barenge abanto chituoni, bakaba abatang’ani b’abasikari.",bible_ebible,1CH_12_21
"For at that time day by day there came to David to help him, until it was a great host , like the host of God .","Rituko ase rituko abanto bakagenderera gocha ase Daudi komokonya, goika agatwara abarwani abange mono, buna abasikari ba Nyasae. Omobaro bw’abarwani ba Daudi",bible_ebible,1CH_12_22
"And these are the numbers of the bands that were ready armed to the war , and came to David to Hebron , to turn the kingdom of Saul to him, according to the word of the LORD .","Oyo noro omobaro bw’emeganda y’abasikari, baria bachete ase Daudi agwo Heburoni, buna Omonene achigete, erinde bamoe oborwoti boria bwarusetigwe ase Saulo.",bible_ebible,1CH_12_23
"The children of Judah that bare shield and spear were six thousand and eight hundred , ready armed to the war .","Abayuda ababogoretie chinguba na amatimo nigo barenge chilifu isano nemo, na amagana atano na atato (6,800), baisanerete ase okorwana esegi.",bible_ebible,1CH_12_24
"Of the children of Simeon , mighty men of valour for the war , seven thousand and one hundred .","Abasimeoni nigo barenge chilifu isano na ibere, ne rigana erimo (7,100), abanto chituoni abakong’u ase esegi.",bible_ebible,1CH_12_25
Of the children of Levi four thousand and six hundred .,"Abalawi nigo barenge chilifu inye, na amagana atano na rimo (4,600),",bible_ebible,1CH_12_26
"And Jehoiada was the leader of the Aaronites , and with him were three thousand and seven hundred ;","amo na Yehoyada, omoteneneri bw’eamate ya Aroni, na amo nere abanto chilifu isato, na amagana atano na abere (3,700);",bible_ebible,1CH_12_27
"And Zadok , a young man mighty of valour , and of his father’s house twenty and two captains .","na Zadoki, omomura etuoni, amo nabaanto bamwabo abatang’ani b’esegi emerongo ebere, na babere (22).",bible_ebible,1CH_12_28
"And of the children of Benjamin , the kindred of Saul , three thousand : for hitherto the greatest part of them had kept the ward of the house of Saul .","Ababenjamini, abanto b’eamate ya Saulo, nigo barenge chilifu isato (3,000), nonya nase ekero ekio abange mono kobua b’abwo bagendererete kobwatana nenyomba ya Saulo.",bible_ebible,1CH_12_29
"The chief was Ahiezer , then Joash , the sons of Shemaah the Gibeathite ; and Jeziel , and Pelet , the sons of Azmaveth ; and Berachah , and Jehu the Antothite ,","Ahieseri orenge omonene obo, naende Yoashi; aba babere mbasinto ba Semaa korwa Gibea; Yesieli na Peleti basinto b’Asimaweti; Beraka na Yehu korwa Anatoti;",bible_ebible,1CH_12_3
"And of the children of Ephraim twenty thousand and eight hundred , mighty men of valour , famous throughout the house of their fathers .","Korwa ase Abaefraimu: chilifu emerongo ebere, na amagana atano na atato (20,800), abanto chituoni ase esegi bamanyekanete ase chiamate chiabo.",bible_ebible,1CH_12_30
"And of the half tribe of Manasseh eighteen thousand , which were expressed by name , to come and make David king .","Abanto b’egesaku ekeng’ese kia Manase: chilifu ikomi na isano na isato (18,000), baria batoretwe amarieta abo bache kobeeka Daudi abe omorwoti.",bible_ebible,1CH_12_31
"And of the children of Issachar , which were men that had understanding of the times , to know what Israel ought to do ; the heads of them were two hundred ; and all their brethren were at their commandment .","Korwa ase Abaisakaru: abanto abang’aini abamanyi ebimanyererio bie chingaki, bamanyete egento Abaisraeli bagwenerete gokora, abateneneri amagana abere (200), amo nabamwabo abarenge inse ase obochiki bwabo.",bible_ebible,1CH_12_32
"Of Zebulun , such as went forth to battle , expert in war , with all instruments of war , fifty thousand , which could keep rank : they were not of double heart .","Korwa ase Abasabuloni: abarwani abakong’u baare nomoyo oyomo, baisanerete ase okorwana esegi, babwate ebirwanero biisaine, abanto chilifu emerongo etano (50,000).",bible_ebible,1CH_12_33
"And of Naphtali a thousand captains , and with them with shield and spear thirty and seven thousand .","Korwa Abanafutali: abachiki elifu eyemo (1,000), amo nabaanto chilifu emerongo etato na isano na ibere (37,000), babwate chinguba na amatimo.",bible_ebible,1CH_12_34
And of the Danites expert in war twenty and eight thousand and six hundred .,"Korwa ase Abadani: abanto baisanerete ase okorwana esegi, chilifu emerongo ebere na isano na isato, na amagana atano na rimo (28,600).",bible_ebible,1CH_12_35
"And of Asher , such as went forth to battle , expert in war , forty thousand .","Korwa ase Abaaseri: abanto abakong’u baisanerete ase okorwana esegi, chilifu emerongo ene (40,000).",bible_ebible,1CH_12_36
"And on the other side of Jordan , of the Reubenites , and the Gadites , and of the half tribe of Manasseh , with all manner of instruments of war for the battle , an hundred and twenty thousand .","Korwa ase Abareubeni na Abagadi, na ekeng’ese ki’egesaku kia Manase, abwo bamenyete ng’umbu ya Yorodani, abanto babwate ebirwanero bionsi bi’okorwana esegi, chilifu rigana erimo na emerongo ebere (120,000).",bible_ebible,1CH_12_37
"All these men of war , that could keep rank , came with a perfect heart to Hebron , to make David king over all Israel : and all the rest also of Israel were of one heart to make David king .","Abarwani aba bonsi baisanerete ase okorwana esegi, na bagacha agwo Heburoni, bare nomoyo oyomo kobeeka Daudi koba omorwoti igoro y’Abaisraeli bonsi. Boigo Abaisraeli bande bonsi nigo barenge nebirengererio ebimo bi’okobeeka Daudi abe omorwoti.",bible_ebible,1CH_12_38
"And there they were with David three days , eating and drinking : for their brethren had prepared for them.","Abanto abwo bakabeera aroro amo na Daudi ase amatuko atato, bakaba bakoria na konywa, ekiagera abamwabo konya baabaariganeirie ebinto bionsi.",bible_ebible,1CH_12_39
"And Ismaiah the Gibeonite , a mighty man among the thirty , and over the thirty ; and Jeremiah , and Jahaziel , and Johanan , and Josabad the Gederathite ,","Isimaya korwa Gibeoni, omonto etuoni naende omoraai ase egati y’abanto baria Emerongo etato; Yeremia na Yehasieli, Yohanani na Yosabadi korwa Gedera;",bible_ebible,1CH_12_4
"Moreover they that were nigh them, even unto Issachar and Zebulun and Naphtali , brought bread on asses , and on camels , and on mules , and on oxen , and meat , meal , cakes of figs, and bunches of raisins , and wine , and oil , and oxen , and sheep abundantly : for there was joy in Israel .","Abaamate bamwabo abamenyete ang’e amo nabwo bamenyete ase chingongo chia Isakaru na Sabuloni, na Nafutali, abwo bakarenta chindagera babogoretie ne chitigere ne chingamia, ne chibarasi, ne chiombe; bakarenta chindagera chinyinge mono; obosie, na amabomba ’amako amomo na ay’amasabibu amomo, na edivai, na amaguta ’amazeituni, ne chiombe, ne ching’ondi, ekiagera Abaisraeli nigo barenge nomogooko omonene.",bible_ebible,1CH_12_40
"Eluzai , and Jerimoth , and Bealiah , and Shemariah , and Shephatiah the Haruphite ,","Elusai na Yerimoti, Bealia na Semaria, na Sefatia korwa Harufi;",bible_ebible,1CH_12_5
"Elkanah , and Jesiah , and Azareel , and Joezer , and Jashobeam , the Korhites ,","Elikana na Isia, Asareli na Yoeseri, na Yasobeamu, abarenge Abakora;",bible_ebible,1CH_12_6
"And Joelah , and Zebadiah , the sons of Jeroham of Gedor .","Yoela na Sebadia, basinto ba Yerohamu, korwa Gedori. Abatunyani ba Daudi korwa ase egesaku kia Gadi",bible_ebible,1CH_12_7
"And of the Gadites there separated themselves unto David into the hold to the wilderness men of might , and men of war fit for the battle , that could handle shield and buckler , whose faces were like the faces of lions , and were as swift as the roes upon the mountains ;","Abagadi bande bakagenda kobwatia Daudi agwo ase eburi yarenge ase erooro. Abanto aba nigo barenge chituoni, bamanyete korwana chiseegi, naende nigo bamanyete korwanera chinguba na amatimo. Amasio abo nigo arenge buna aye chindo, naende nigo barenge kominyoka buna chingabi igoro y’ebitunwa.",bible_ebible,1CH_12_8
"Ezer the first , Obadiah the second , Eliab the third ,","Eseri nere orenge omotang’ani obo na Obadia oyo o kabere, na Eliabu oyo o gatato,",bible_ebible,1CH_12_9
"And David consulted with the captains of thousands and hundreds , and with every leader .","Daudi akaba ogosemania nabanene bonsi abarenge abatang’ani b’abarwani elifu eyemo (1,000) na abe rigana erimo (100).",bible_ebible,1CH_13_1
