ekegusii,english,headword,contributor,date,source,url
Chimbisi,peas,Chimbisi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chimbisi
Chimboga,pig weed,Chimboga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chimboga
Chinchugu,groundnuts,Chinchugu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinchugu
Chinchugu,They planted groundnuts,Chinchugu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinchugu
Chinduma,arrow root,Chinduma,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinduma
Ching'ende,Beans,Ching'ende,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende
Ching'ende chia lablab,lablab beans,Ching'ende chia lablab,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-chia-lablab
Ching'ende chia lima,lima beans,Ching'ende chia lima,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-chia-lima
Ching'ende mwamu,black beans,Ching'ende mwamu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende-mwamu
Ching'endo,culture,Ching'endo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/chingendo
Ching'eni,vegetables,Ching'eni,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chingeni
Chingero,Music,Chingero,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/chingero
Ching'ondi,sheep,Ching'ondi,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/chingondi
Chinkegeta,hookworm,Chinkegeta,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/chinkegeta
Chinkina nkuna,"April 24, 2023",Chinkina nkuna,Anonymous,"April 24, 2023",lughayangu,https://lughayangu.com/ekegusii/chinkina-nkuna
Chinkondi,Pretenders,Chinkondi,Anonymous,"November 15, 2022",lughayangu,https://lughayangu.com/ekegusii/chinkondi
Chinkondi,"November 15, 2022",Chinkondi,Anonymous,"November 15, 2022",lughayangu,https://lughayangu.com/ekegusii/chinkondi
Chinsaga,spider plant,Chinsaga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinsaga
Chinsiaga,napier grass,Chinsiaga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinsiaga
Chintobo,sodom apple,Chintobo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chintobo
Chinyeke,grains,Chinyeke,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinyeke
Chinyeke chi'egesare,cowpea,Chinyeke chi'egesare,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinyeke-chiegesare
Chiria,those,Chiria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/chiria
Chiribu amagana atano,five hundred thousand,Chiribu amagana atano,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chiribu-amagana-atano
Chiribu ibere,Two thousand,Chiribu ibere,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chiribu-ibere
Chisabibu,grapes,Chisabibu,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/chisabibu
Chitariki,By Benzoic prutas,Chitariki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chitariki
Chitariki,Benzoic prutas,Chitariki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chitariki
Chitariki,"February 19, 2023",Chitariki,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chitariki
Chitririoni isano isato,Eight Trillion,Chitririoni isano isato,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chitririoni-isano-isato
Ebachu,Hip,Ebachu,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebachu
Ebichambura,Java plum,Ebichambura,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebichambura
Ebiranguati,african star apple,Ebiranguati,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ebiranguati
Ebituse,Patchy,Ebituse,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ebituse
Egechara,Finger,Egechara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egechara
Egechuchu,chick,Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
Egechuchu,By Benzoic prutas,Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
Egechuchu,Benzoic prutas,Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
Egechuchu,"February 19, 2023",Egechuchu,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egechuchu
Egeita,Open the gate,Egeita,Anonymous,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/egeita
Egeita,"February 15, 2024",Egeita,Anonymous,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/egeita
Egekoba,lip,Egekoba,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egekoba
Egekondo,colobus,Egekondo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egekondo
Egekondo,monkey,Egekondo,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egekondo
Egekonyi,Wrist,Egekonyi,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egekonyi
Egekungu,female,Egekungu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egekungu
Egesabo,branch,Egesabo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesabo
Egesanda,calabash,Egesanda,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesanda
Egesare,Cowpeas leaves,Egesare,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/egesare
Egesase,grasshopper,Egesase,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/egesase
Egesieri,door,Egesieri,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egesieri
Egesire,Axe,Egesire,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/egesire
Egesire,"September 3, 2022",Egesire,Zedekiah,"September 3, 2022",lughayangu,https://lughayangu.com/ekegusii/egesire
Egesiriri,Cricket,Egesiriri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/egesiriri
Egesunte gia masaba,december,Egesunte gia masaba,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesunte-gia-masaba
Egesusu,rabbit,Egesusu,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesusu
Egesusu,hare,Egesusu,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/egesusu
Egetanda,bed,Egetanda,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/egetanda
Ekagwa,Coffee,Ekagwa,Ed,"August 2, 2026",lughayangu,https://lughayangu.com/ekegusii/ekagwa
Ekagwa,By Ed,Ekagwa,Ed,"August 2, 2026",lughayangu,https://lughayangu.com/ekegusii/ekagwa
Ekagwa,"August 2, 2026",Ekagwa,Ed,"August 2, 2026",lughayangu,https://lughayangu.com/ekegusii/ekagwa
Ekahawa,coffee,Ekahawa,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekahawa
Ekayaba,kei apple,Ekayaba,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekayaba
Ekebwe,Jackal,Ekebwe,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekebwe
Ekegangwa,Caterpillar 🐛,Ekegangwa,Micah Gesaka,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekegangwa
Ekegangwa,By Micah Gesaka,Ekegangwa,Micah Gesaka,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekegangwa
Ekegangwa,Micah Gesaka,Ekegangwa,Micah Gesaka,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekegangwa
Ekegokoro,Elbow,Ekegokoro,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekegokoro
Ekemambi,"October 11, 2021",Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
Ekemambi,morning,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
Ekemanchingi,highly graceful,Ekemanchingi,ALECKY,"July 10, 2023",lughayangu,https://lughayangu.com/ekegusii/ekemanchingi
Ekemanchingi,By ALECKY,Ekemanchingi,ALECKY,"July 10, 2023",lughayangu,https://lughayangu.com/ekegusii/ekemanchingi
Ekemanchingi,ALECKY,Ekemanchingi,ALECKY,"July 10, 2023",lughayangu,https://lughayangu.com/ekegusii/ekemanchingi
Ekemanchingi,"July 10, 2023",Ekemanchingi,ALECKY,"July 10, 2023",lughayangu,https://lughayangu.com/ekegusii/ekemanchingi
Ekemeria,weed,Ekemeria,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemeria
Ekemeria ki'amache,water hyacinth,Ekemeria ki'amache,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemeria-kiamache
Ekemogamogi,black jack,Ekemogamogi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/ekemogamogi
Ekemoni,cat,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
Ekemoni,By peter ongera,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
Ekemoni,peter ongera,Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
Ekemoni,"March 23, 2025",Ekemoni,peter ongera,"March 23, 2025",lughayangu,https://lughayangu.com/ekegusii/ekemoni
Ekeng'ore,The silen,Ekeng'ore,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/ekengore
Ekeng'werere,baby,Ekeng'werere,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/ekengwerere
Ekenyamnyonge,Squirrel,Ekenyamnyonge,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyamnyonge
Ekenyinyiro,chin,Ekenyinyiro,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyinyiro
Ekerama,roof,Ekerama,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerama
Ekerema,cripple,Ekerema,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerema
Ekero,when,Ekero,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/ekero
Ekerombeta,Flea,Ekerombeta,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekerombeta
Ekiagera,Because,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Ekiagera,#because,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Ekiagera,#Leave,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Ekiagera,#Sleep,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Ekiagera,for,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Ekiombe,club,Ekiombe,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/ekiombe
Embeo,Air,Embeo,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/embeo
Embeo,#lets,Embeo,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/embeo
Embeo,#Outside,Embeo,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/embeo
Embeo,#air,Embeo,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/embeo
Embogo,Tsetse fly,Embogo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/embogo
Embong'i,ankle,Embong'i,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/embongi
Embura,Rain,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura,It is raining,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura,#Rain,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura,By teDon,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura,teDon,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura,"November 14, 2023",Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Emebayeno y'ekegusii,Kisii proverbs,Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
Emebayeno y'ekegusii,By Daniel Oyuyo,Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
Emebayeno y'ekegusii,"May 6, 2024",Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
Emerongo etano,fifty,Emerongo etano,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/emerongo-etano
Emerongo kianda,Ninety,Emerongo kianda,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/emerongo-kianda
Emirioni eyemo,one million,Emirioni eyemo,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/emirioni-eyemo
Emitoo,slender leaves(mto),Emitoo,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/emitoo
Emoti,bamboo grass,Emoti,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/emoti
Emwamu,black,Emwamu,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/emwamu
Endagera,food,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,Serve him/her food,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,#Food,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,"October 10, 2019",Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,#enough,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,"April 1, 2024",Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,Come eat food,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera,"May 9, 2025",Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Enderema,vine spinach,Enderema,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/enderema
Endo,Lion,Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
Endo,Lion of judah,Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
Endo,"April 9, 2021",Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
Endo,"September 16, 2023",Endo,Annah,"June 26, 2023",lughayangu,https://lughayangu.com/ekegusii/endo
Engano,wheat,Engano,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/engano
Eng'atiato,october,Eng'atiato,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/engatiato
Engegu,shore,Engegu,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/engegu
Eng'ende,bean,Eng'ende,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/engende
Engi,housefly,Engi,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/engi
Eng'ombe,Cow,Eng'ombe,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/engombe
"Engoro, nyasae","December 18, 2021","Engoro, nyasae",Starlion Ombasa Omwansu491333,"December 18, 2021",lughayangu,https://lughayangu.com/ekegusii/engoro-nyasae
