ekegusii,english,reason,headword,contributor,date,source,url
enibo,,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
egasi yaye egwakana chibesa chinyinge,,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
Ng'e chibesa,,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
,How much money do you have?,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
,Her work pays good money,4 ekegusii vs 2 english,chibesa,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/chibesa
basimegete chinchugu,,1 ekegusii vs 0 english,Chinchugu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinchugu
Nature chinkuna nkuna koru omote igoro,,1 ekegusii vs 2 english,Chinkina nkuna,Anonymous,"April 24, 2023",lughayangu,https://lughayangu.com/ekegusii/chinkina-nkuna
,A fruit used for medicine,1 ekegusii vs 2 english,Chinkina nkuna,Anonymous,"April 24, 2023",lughayangu,https://lughayangu.com/ekegusii/chinkina-nkuna
,I have plucked the chinkunankuna fruits from on top of a tree,1 ekegusii vs 2 english,Chinkina nkuna,Anonymous,"April 24, 2023",lughayangu,https://lughayangu.com/ekegusii/chinkina-nkuna
Gate,,2 ekegusii vs 0 english,Egeita,Anonymous,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/egeita
Egeita - Gate,,2 ekegusii vs 0 english,Egeita,Anonymous,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/egeita
Omokungu,,2 ekegusii vs 1 english,Egekungu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egekungu
Aretete egesusu egekungu,,2 ekegusii vs 1 english,Egekungu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egekungu
,She/He brought a female rabbit,2 ekegusii vs 1 english,Egekungu,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egekungu
tangerine,,2 ekegusii vs 1 english,Egesantare,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egesantare
rigori ri'ebisantare rire igoro,,2 ekegusii vs 1 english,Egesantare,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egesantare
,Tangerines are really expensive,2 ekegusii vs 1 english,Egesantare,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/egesantare
omorangu,,2 ekegusii vs 1 english,Egesieri,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egesieri
Omosacha oye abunete egesieri ekero anyoretu konyoigora,,2 ekegusii vs 1 english,Egesieri,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egesieri
,Her husband broke the door when she delayed to open it,2 ekegusii vs 1 english,Egesieri,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/egesieri
Omonto oria aboogete ekemambi,,2 ekegusii vs 3 english,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
agokama eng'ombe yaye mambia na magoroba,,2 ekegusii vs 3 english,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
,Very early in the morning,2 ekegusii vs 3 english,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
,That person woke up very early in the morning,2 ekegusii vs 3 english,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
,he milks his cow in the morning and evening,2 ekegusii vs 3 english,Ekemambi,Anonymous,"October 11, 2021",lughayangu,https://lughayangu.com/ekegusii/ekemambi
mongoose,,2 ekegusii vs 1 english,Ekenyaminyonge,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyaminyonge
Ekenyaminyonge kiariete chingoko chionsi,,2 ekegusii vs 1 english,Ekenyaminyonge,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyaminyonge
,The mongoose ate all the chicken,2 ekegusii vs 1 english,Ekenyaminyonge,Purity,"August 30, 2022",lughayangu,https://lughayangu.com/ekegusii/ekenyaminyonge
Rhino,,2 ekegusii vs 1 english,Ekeobiri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekeobiri
Ekebiri ekerabu egesacha giatigarete Kenya nkiasira bwango iga,,2 ekegusii vs 1 english,Ekeobiri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekeobiri
,The last male white rhino living in Kenya died recently,2 ekegusii vs 1 english,Ekeobiri,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekeobiri
Tindi gochi ekiagera timbwati ase nkorara,,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Nigo,,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
Nigo achete gototoria twensi,,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
entwanyorwa ekiagera egari yasareka,,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
,I am not leaving because I do not have a place to sleep,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
,For He came to save us all,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
,We were late because the car broke down,4 ekegusii vs 3 english,Ekiagera,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ekiagera
toe,,2 ekegusii vs 1 english,Ekiara giokogoro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ekiara-giokogoro
MIka agochete ekiara giokogoro ase rigena gekaru amanyinga,,2 ekegusii vs 1 english,Ekiara giokogoro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ekiara-giokogoro
,MIka bumped his toe against a stone and it started bleeding,2 ekegusii vs 1 english,Ekiara giokogoro,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/ekiara-giokogoro
Gecko,,3 ekegusii vs 2 english,Ekigo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekigo
Ekigo kere maraba kiarete engi na gotama,,3 ekegusii vs 2 english,Ekigo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekigo
Ekigo kere maraba gianchete koria chingi,,3 ekegusii vs 2 english,Ekigo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekigo
,The brown gecko ate a fly and hid,3 ekegusii vs 2 english,Ekigo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekigo
,The brown gecko loves eating the flies.,3 ekegusii vs 2 english,Ekigo,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/ekigo
Embura egotu,,3 ekegusii vs 2 english,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Embura yatwete gochaka tichi rimo mpaka tichi gatano,,3 ekegusii vs 2 english,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
embura yature enyinge mono,,3 ekegusii vs 2 english,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
,It rained from Monday to Friday,3 ekegusii vs 2 english,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
,It has been raining heavily,3 ekegusii vs 2 english,Embura,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/embura
Emebayeno nigo ebwate chingencho chibisegete echio chibwate amorokererio gose ogokurera gete gochia ase abanto.,,2 ekegusii vs 1 english,Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
Daniel Oyuyo,,2 ekegusii vs 1 english,Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
,Proverbs have a hidden meanings which have teachings or warnings to people.,2 ekegusii vs 1 english,Emebayeno y'ekegusii,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/emebayeno-yekegusii
Mobekere endagera,,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera yaisanire,,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Endagera twaroseti yonsi yaerete,,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
letera abageni endagera,,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Inchwo orie endagera,,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
,The food is enough,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
,All of the food that we cooked is finished,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
,Bring food to the visitors,5 ekegusii vs 3 english,Endagera,robertny,"October 10, 2019",lughayangu,https://lughayangu.com/ekegusii/endagera
Nyasae tata n' omuya.,,2 ekegusii vs 1 english,"Engoro, nyasae",Starlion Ombasa Omwansu491333,"December 18, 2021",lughayangu,https://lughayangu.com/ekegusii/engoro-nyasae
Starlion Ombasa Omwansu491333,,2 ekegusii vs 1 english,"Engoro, nyasae",Starlion Ombasa Omwansu491333,"December 18, 2021",lughayangu,https://lughayangu.com/ekegusii/engoro-nyasae
,By Starlion Ombasa Omwansu491333,2 ekegusii vs 1 english,"Engoro, nyasae",Starlion Ombasa Omwansu491333,"December 18, 2021",lughayangu,https://lughayangu.com/ekegusii/engoro-nyasae
enibo yane,,3 ekegusii vs 1 english,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
Chibesa,,3 ekegusii vs 1 english,enibo,robertny,"July 18, 2019",lughayangu,https://lughayangu.com/ekegusii/enibo
Togende enyangi,,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
#Go,,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Omambia akorete enyangi tichi rimo,,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Enyangi twagenda nenyangi bori.,,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
,Let's go to the wedding,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
,Omambia had his wedding on Monday,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
,The wedding we've attended is a really wedding.,4 ekegusii vs 3 english,Enyangi,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/enyangi
Eye,,3 ekegusii vs 2 english,Eriso,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/eriso
Omosacha otindete atebetie mokaye buna eriso riaye ndiri korora armoire nyagitari arwarigwe,,3 ekegusii vs 2 english,Eriso,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/eriso
Omogaka ori atebetie mokaye eriso riaye riaruarire naganeti kogenda nyagitari korwarigwa,,3 ekegusii vs 2 english,Eriso,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/eriso
,The drunk man told his wife that his eye could not see so she ought to take him to the hospital for treatment,3 ekegusii vs 2 english,Eriso,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/eriso
,That man told his wife that he has an eye problem and needs to visit a hospital for treatment.,3 ekegusii vs 2 english,Eriso,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/eriso
Narometu ne eumbu,,3 ekegusii vs 2 english,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
Moraa aitete eumbu yare komoroma okoboko,,3 ekegusii vs 2 english,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
,I was bitten by a mosquito,3 ekegusii vs 2 english,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
,Moraa killed the mosquito biting her hand,3 ekegusii vs 2 english,eumbu,Moraa,"September 4, 2019",lughayangu,https://lughayangu.com/ekegusii/eumbu
one,,2 ekegusii vs 1 english,Eyemo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/eyemo
basabete bamenteru ensa eyemo gokora egasi,,2 ekegusii vs 1 english,Eyemo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/eyemo
,They requested an additional one hour to complete their work,2 ekegusii vs 1 english,Eyemo,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/eyemo
two,,2 ekegusii vs 1 english,Ibere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ibere
tonyorane chinsa ibere,,2 ekegusii vs 1 english,Ibere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ibere
,Let's meet at two,2 ekegusii vs 1 english,Ibere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/ibere
omwana abeka esani igoro y'emesa,,2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
Igoro amare,,2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
,The kid put the plate on the table,2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
,This is a word used to reference - Yesterday.,2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
,Can also be used to reference - in space.,2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
,Igoro gusii nare. (Yesterday I was in Kisii),2 ekegusii vs 4 english,Igoro,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/igoro
Mosani inaki ogendererete,,1 ekegusii vs 2 english,Inaki ogendererete,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/inaki-ogendererete
,How are you doing?,1 ekegusii vs 2 english,Inaki ogendererete,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/inaki-ogendererete
,How are you doing my friend,1 ekegusii vs 2 english,Inaki ogendererete,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/inaki-ogendererete
nine,,2 ekegusii vs 1 english,Kianda,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/kianda
Abwate ebichara kiande ase okoboko okomo,,2 ekegusii vs 1 english,Kianda,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/kianda
,He has nine fingers on one hand,2 ekegusii vs 1 english,Kianda,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/kianda
Inche ngokwana ekegusii,,2 ekegusii vs 1 english,Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
Moraa Daisy,,2 ekegusii vs 1 english,Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
,It means kisii language,2 ekegusii vs 1 english,Kisii,Moraa Daisy,"July 22, 2024",lughayangu,https://lughayangu.com/ekegusii/kisii
ekemambi,,2 ekegusii vs 1 english,Mambia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/mambia
Risase Igo rikobara korwa moocha,,2 ekegusii vs 1 english,Moocha,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/moocha
,The sun rises from the east.,2 ekegusii vs 1 english,Moocha,Daniel Oyuyo,"May 6, 2024",lughayangu,https://lughayangu.com/ekegusii/moocha
Mosota n'omosoata,,1 ekegusii vs 2 english,Mosota,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/mosota
,Means born when the white people came,1 ekegusii vs 2 english,Mosota,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/mosota
,Mosota is an an albino,1 ekegusii vs 2 english,Mosota,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/mosota
,How was your night,0 ekegusii vs 1 english,Naki obotuko bwao bware,Anonymous,"September 6, 2025",lughayangu,https://lughayangu.com/ekegusii/naki-obotuko-bwao-bware
oyo omosani one naki okorokwa?,,1 ekegusii vs 2 english,Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
,what is your name?,1 ekegusii vs 2 english,Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
,what is your friend's name?,1 ekegusii vs 2 english,Naki okorokwa?,mark deon2,"October 13, 2023",lughayangu,https://lughayangu.com/ekegusii/naki-okorokwa
Mbuyande,,3 ekegusii vs 1 english,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Bwairire? Naki ore?,,3 ekegusii vs 1 english,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
Ohaga,,3 ekegusii vs 1 english,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
,Good evening? How are you?!,3 ekegusii vs 1 english,Naki ore,Ann Waithira,"March 8, 2024",lughayangu,https://lughayangu.com/ekegusii/naki-ore
are,,2 ekegusii vs 1 english,Naye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/naye
aye naye moiseke ominto,,2 ekegusii vs 1 english,Naye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/naye
,You are my sister,2 ekegusii vs 1 english,Naye,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/naye
ekiagera,,2 ekegusii vs 1 english,Nigo,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/nigo
Nimbwate chibesa,,2 ekegusii vs 0 english,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
Nimbwate endagera,,2 ekegusii vs 0 english,Nimbwate,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nimbwate
bwari,,2 ekegusii vs 1 english,Nyabwari,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/nyabwari
Nyabwari nang'ete oboke,,2 ekegusii vs 1 english,Nyabwari,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/nyabwari
,means a good person,2 ekegusii vs 1 english,Nyabwari,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/nyabwari
Nyachae n'omogambi omuya,,1 ekegusii vs 2 english,Nyachae,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/nyachae
,means generous/born near tea bushes,1 ekegusii vs 2 english,Nyachae,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/nyachae
,Nyachae is a good leader,1 ekegusii vs 2 english,Nyachae,Purity,"November 7, 2022",lughayangu,https://lughayangu.com/ekegusii/nyachae
Nyaera narigetwe omotienyi oetete,,1 ekegusii vs 2 english,Nyaera,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyaera
,A child named after the cents that had holes in the middle,1 ekegusii vs 2 english,Nyaera,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyaera
,Nyaera got employed last month,1 ekegusii vs 2 english,Nyaera,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyaera
Nyangweso abwate abana ikomi na inye.,,1 ekegusii vs 2 english,Nyangweso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyangweso
,One born during a period when there was famine,1 ekegusii vs 2 english,Nyangweso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyangweso
,Nyangweso has fourteen children,1 ekegusii vs 2 english,Nyangweso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyangweso
Nyareso oagachire enyomba yerigena,,1 ekegusii vs 2 english,Nyareso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyareso
,A person born during the introduction of 'lesos',1 ekegusii vs 2 english,Nyareso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyareso
,Nyareso has built a permanent house,1 ekegusii vs 2 english,Nyareso,Purity,"November 6, 2022",lughayangu,https://lughayangu.com/ekegusii/nyareso
Nyasae no omuya,,1 ekegusii vs 0 english,Nyasae,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/nyasae
Ruga obokima,,1 ekegusii vs 0 english,Obokima,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/obokima
Gone,,3 ekegusii vs 1 english,Ochire,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ochire
Omomura ochire,,3 ekegusii vs 1 english,Ochire,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ochire
#Gone,,3 ekegusii vs 1 english,Ochire,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ochire
,The boy has gone,3 ekegusii vs 1 english,Ochire,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/ochire
Noo tore igaah tokoaregania enyangi ya Aperi.,,2 ekegusii vs 1 english,Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
Engubo,,2 ekegusii vs 1 english,Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
,We are here preparing for Abel's wedding,2 ekegusii vs 1 english,Okoaregania,Engubo,"February 15, 2024",lughayangu,https://lughayangu.com/ekegusii/okoaregania
okorwarigwa,,2 ekegusii vs 1 english,Okobwenia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwenia
Ekero kwarwarire okorwarigwa n'amariogo,,2 ekegusii vs 1 english,Okobwenia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwenia
,When sick you are prescribed drugs as treatment,2 ekegusii vs 1 english,Okobwenia,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okobwenia
Tobwate okoegia ibere,,1 ekegusii vs 2 english,Okoegia,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/okoegia
,Act- one part of a play,1 ekegusii vs 2 english,Okoegia,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/okoegia
,We have two acts,1 ekegusii vs 2 english,Okoegia,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/okoegia
Okobwenia,,2 ekegusii vs 1 english,Okorwarigwa,Purity,"July 23, 2026",lughayangu,https://lughayangu.com/ekegusii/okorwarigwa
